name,price,description,photo,stock,user_id
Graveyard,200000,"This large house looks a bit old-fashioned and is in poor condition.  The interior is done in colors that remind you of a thunderstorm.  The yard is moderately-sized and looks very formal.  Also, rumor has it that a group of thieves used it as a meeting place.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsFTbW1HRdHQZvmaFy2q107xa8mNegOzY_t5gLuP_FPIp9Me94Qw,1,1
Amityville Horror,1000000,"Super spooky Amityvilled Horror",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnHFsC4-sPGTFFgUOO1laemwdUXUL4iBRBaf9GuwtIk3i_vKU0,3,1
American Horror Story Season 1 House,3000000,"This large house has a retro look to it and is in terrible condition.  The interior is done in colors that remind you of an old book.  The yard is large and resembles a creepy forest.  Also, it's rumored that an old man who went inside never came out.",https://timedotcom.files.wordpress.com/2018/02/180213-american-horror-story-haunted-house.jpg?quality=85,10,1
Copper King Mansion,250000,"This enormous house looks a bit old-fashioned and is in poor condition.  The interior is done in faded colors.  The yard is small and is severely overgrown.  Also, it's rumored to be built over an old burial ground.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_zyYqoTuVbsINmagYKaHsCwIKrg6ZDJHclmatkBs8h__oSuuh,1,2
Haught Mansion,3500000,"Creepy mansion in Michigan",https://amp.businessinsider.com/images/562fbe129dd7cc01308b9b3b-640-514.jpg,2,2
Nova House,2500000,"This large house has a retro look to it and is in excellent condition.  The interior is done in colors that remind you of an old newspaper.  The yard is enormous and is full of dead plants.  Also, its last occupants left in a hurry.",https://petapixel.com/assets/uploads/2014/10/ohio2.jpg,3,3
Temple Mansion,425000000,"This enormous house looks like an old castle and is in terrible condition.  The interior is done in colors that remind you of an old ship.  The yard is moderately-sized and resembles a meadow.  Also, it's rumored to be built over an old cemetary.",https://petapixel.com/assets/uploads/2014/10/michigan2.jpg,2,4
The Sallie House,3500000,"This small house looks very modern and is in terrible condition.  The interior is done in colors that remind you of an old ship.  The yard is small and is neatly-trimmed.  Also, it's the site of an infamous murder.",https://petapixel.com/assets/uploads/2014/10/ohio.jpg,3,3
LaLaurie House,2300000,"This moderately-sized house looks very old-fashioned and is in poor condition.  The interior is done in drab colors.  The yard is tiny and is overgrown with wild plants.  Also, its owners have a record of dying in strange and unforeseeable accidents.",https://petapixel.com/assets/uploads/2014/10/connecticut.jpg,2,4
Bell Witch Farm,3000000,"This enormous house has a quaint atmosphere and is in terrible condition.  The interior is done in colors that remind you of the night sky.  The yard is large and is severely overgrown.  Also, an old man was murdered here a long time ago.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMGr0RkStGT5CrPiz3gfvgI_VACaggzhajcF7_JigRWZ_9vg0Z-g,1,5
Super Spooky Farm,3000000,"This enormous house has a quaint atmosphere and is in terrible condition.  The interior is done in colors that remind you of the night sky.  The yard is large and is severely overgrown.  Also, an old man was murdered here a long time ago.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMGr0RkStGT5CrPiz3gfvgI_VACaggzhajcF7_JigRWZ_9vg0Z-g,1,5
Haunted Mansion,4000000,"This enormous house has a quaint atmosphere and is in terrible condition.  The interior is done in colors that remind you of the night sky.  The yard is large and is severely overgrown.  Also, an old man was murdered here a long time ago.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMGr0RkStGT5CrPiz3gfvgI_VACaggzhajcF7_JigRWZ_9vg0Z-g,1,5
